# KmerCoverage	Frequency
# Any frequency is a even number because of odd k-mer length
2 120609970
3 5753348
4 627084
5 121240
6 34426
7 13552
8 8270
9 3878
10 2496
11 1622
12 1190
13 738
14 832
15 400
16 288
17 114
18 32
19 48
20 10
21 12
22 8
23 6
24 2
25 16
26 20
27 14
28 44
29 8
30 32
31 2
32 2
33 6
34 10
35 12
36 16
37 6
38 4
44 10
45 26
46 4
47 18
48 18
49 6
51 2
52 4
53 6
54 6
55 2
57 4
58 2
59 2
60 4
61 2
91 4
92 2
93 8
96 2
98 2
102 2
103 2
104 2
105 6
