# KmerCoverage	Frequency
# Any frequency is a even number because of odd k-mer length
2 268460456
3 13266486
4 1673786
5 339814
6 91488
7 34610
8 13420
9 7256
10 3812
11 2436
12 1692
13 1350
14 700
15 418
16 182
17 198
18 174
19 114
20 114
21 102
22 60
23 24
24 42
25 34
26 24
27 22
28 34
29 28
30 32
31 18
32 14
33 4
34 16
35 10
36 16
37 16
38 18
39 20
40 2
41 6
42 14
43 6
44 6
45 8
48 2
49 10
50 20
51 8
52 16
53 4
56 2
58 2
59 6
61 6
62 2
65 2
